Order Number,Order Time,用户ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1599429263,7/13/2020 1:53,53797897013,7/15/2020,,已送达,148.37,余额支付,,,,,0,149.87,4.58,,pc下单,,1.5,,0,0,自提,Boston,0
1595491473,7/13/2020 2:04,56391767515,7/16/2020,,已送达,228.98,信用卡支付,,,,,8.32,248.79,4.59,,pc下单,,1.5,,0,9.99,到家,NY,0
1595304911,7/13/2020 2:07,53677340081,7/15/2020,,已送达,29.57,信用卡支付,,,,,0,31.43,1.99,,ios,2.3.1,,,0,0,自提,Boston,2
1594767051,7/13/2020 2:12,52592916071,7/16/2020,,已送达,192.05,信用卡支付,,,,,2.52,205.84,9.99,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1600106515,7/13/2020 2:15,5426177829,7/15/2020,,已送达,84.79,PayPal,,,,,0.95,97.01,4.59,,android,2.3.1,1.5,,0,9.99,到家,Boston,0
1595857460,7/13/2020 2:15,56464659411,7/16/2020,,已送达,147.73,信用卡支付,,,,,1.7,160.92,,,pc下单,,1.5,,0,9.99,到家,NY,0
1601102065,7/13/2020 2:21,52320258883,7/15/2020,,已送达,59.99,支付宝/微信,,,,,1.5,71.83,,,ios,2.3.1,,1.5,0,6.99,到家,DC,2
1598136635,7/13/2020 2:24,58578188628,7/15/2020,,已送达,78.21,信用卡支付,,,,,0.27,89.83,,,android,2.3.1,1.5,,0,9.99,到家,Boston,0
1595045775,7/13/2020 2:29,5226312716,7/18/2020,,已送达,183.71,信用卡支付,,,,,2.37,197.42,2.59,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1596626508,7/13/2020 2:39,53551316777,7/24/2020,,已送达,43.7,信用卡支付,,,,,0,43.7,,,ios,2.3.1,,,0,0,自提,NY,0
1602078953,7/13/2020 3:19,54151397712,7/15/2020,,已送达,155.43,PayPal,,,,,0,163.92,25.39,R-数量/重量不符,pc下单,,1.5,,0,6.99,到家,DC,0
1594727739,7/13/2020 3:22,53025285227,7/16/2020,,已送达,118.29,信用卡支付,,,,,7.74,137.52,2.99,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1602029003,7/13/2020 3:40,58234771466,7/16/2020,,已送达,106.59,PayPal,,,,,6.84,123.42,,,pc下单,,,,0,9.99,到家,NY,0
1603337332,7/13/2020 3:48,59995190120,7/21/2020,,已送达,97.75,PayPal,,,,,0.82,104.83,1.99,,ios,2.3.1,1.5,,5,9.99,到家,NY,0
1602555131,7/13/2020 4:20,59834777901,7/16/2020,,已送达,41.95,信用卡支付,,,,,0,55.25,,,ios,2.3.1,1.5,,0,9.99,到家,NY,2
1604381737,7/13/2020 4:20,53764622961,7/16/2020,,已送达,100.66,信用卡支付,,,,,0,108.98,1.09,,ios,2.3.1,1.5,,0,6.99,到家,NY,0
1603967492,7/13/2020 4:25,5445108863,7/25/2020,,订单已取消【需要取消一件/多件商品 || 需要取消某一件商品】,126.14,余额支付,,,,,6.54,141.52,141.52,,ios,2.3.1,,,0,9.99,到家,NY,0
1597851198,7/13/2020 5:11,59764620422,7/16/2020,,已送达,69.83,支付宝/微信,,,,,3.96,86.62,,,ios,2.3.1,1.5,1.5,0,9.99,到家,NY,0
1604433464,7/13/2020 5:17,56841216584,7/16/2020,,已送达,97.31,信用卡支付,,,,,0.78,100.93,,,ios,2.3.1,1.5,,5,6.99,到家,NY,0
1600167404,7/13/2020 6:23,57620322702,7/16/2020,,已送达,180.87,信用卡支付,,,,,0,182.37,15.39,R-数量/重量不符,pc下单,,1.5,,0,0,自提,NY,0
1603885311,7/13/2020 6:42,53161413415,7/15/2020,,已送达,160.43,余额支付,,,,,0,171.72,,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1597684670,7/13/2020 7:32,52422430918,7/15/2020,,已送达,27.92,信用卡支付,,,,,0.7,32.12,4.7,,pc下单,,1.5,,0,0,自提,DC,2
1598251414,7/13/2020 7:42,59546929548,7/16/2020,,已送达,111.17,信用卡支付,,,,,0,118.88,,,ios,2.3.1,1.5,,0,6.99,到家,NY,0
1595756780,7/13/2020 7:43,54184783413,7/18/2020,,已送达,22.01,PayPal,,,,,0.73,23.69,1.99,,ios,2.3.1,,,0,0,自提,OT,2
1599405455,7/13/2020 7:47,52595496262,7/18/2020,,已送达,71.96,信用卡支付,,,,,0.45,73.72,2.2,R-数量/重量不符,android,2.3.1,1.5,,0,0,自提,NY,0
1595971189,7/13/2020 8:01,57642489251,7/15/2020,,已送达,161.05,PayPal,,,,,5.06,176.58,11.77,,ios,2.3.1,1.5,,0,9.99,到家,Boston,0
1597858588,7/13/2020 8:16,58461740502,7/15/2020,,已送达,100.74,信用卡支付,,,,,0,100.74,,,ios,2.3.1,,,0,0,自提,Boston,0
1600739857,7/13/2020 8:17,52060732131,7/18/2020,,已送达,69.37,信用卡支付,,,,,0.96,71.11,6.78,,ios,2.3.1,1.5,,0,0,自提,OT,0
1600420308,7/13/2020 8:18,53420326153,7/16/2020,,已送达,74.27,余额支付,,,,,2.22,87.76,,,ios,2.3.1,1.5,,0,9.99,到家,NY,0
1597622201,7/13/2020 8:19,55341037037,7/15/2020,,已送达,46.13,信用卡支付,,,,,0,49.44,,,ios,2.3.1,1.5,,0,0,自提,DC,2
1600505308,7/13/2020 8:20,59020168633,7/16/2020,,已送达,109.98,PayPal,,,,,1.27,122.74,,,pc下单,,1.5,,0,9.99,到家,NY,0
