Order Number,Order Time,Cust ID,Delivery Date,订单投诉,Status,Total Price,Payment,Voucher Discount,Voucher,Coupon Discount,Coupon,Tax Price,Final Price,Refund,Customer Service,OS of App,,冷链包装费,支付宝手续费,会员券,配送费,到家/自提,班次,服务费
1593628446,6/29/2020 1:07,5224129970,7/11/2020,,订单已取消【需要取消一件/多件商品 || 重新下单】,99.51,余额支付,,,,,0.91,106.16,106.16,,IPAD,2.2.7,1.5,,5,9.99,到家,OT,0
1596607573,6/29/2020 1:08,52748048582,7/4/2020,,已送达,163.56,PayPal,,,,,1.06,175.95,35.98,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
1595734416,6/29/2020 1:11,5796178614,7/1/2020,,已送达,122.4,信用卡支付,,,,,4.34,127.22,,,ios,2.3.0,1.5,,0,0,自提,Boston,0
1595572007,6/29/2020 1:17,55085937222,7/4/2020,,已送达,385.11,PayPal,,,,,8.84,389.5,12.59,,ios,2.3.0,1.5,,5,0,自提,OT,0
1596070186,6/29/2020 1:20,56720637725,7/1/2020,,已送达,120.71,信用卡支付,,,,,0,132.2,24.43,,pc下单,,1.5,,0,9.99,到家,Boston,0
1601150077,6/29/2020 1:26,54360980262,7/1/2020,,已送达,86.09,余额支付,,,,,0,87.33,2.49,,ios,2.3.0,1.5,,0,0,自提,Boston,0
1600138520,6/29/2020 1:26,5628583114,7/2/2020,,已送达,89.9,信用卡支付,,,,,0,100.51,8.19,,ios,2.2.4,1.5,,0,9.99,到家,NY,0
1598653093,6/29/2020 1:27,55191757161,7/2/2020,普通投诉,已送达,241.79,支付宝/微信,,,,,4.14,258.08,2.71,R-质量问题,ios,2.3.0,1.5,1.5,0,9.99,到家,NY,0
1595520852,6/29/2020 1:30,55958537923,7/1/2020,,已送达,126.46,支付宝/微信,,,,,0,129.46,,,ios,2.3.0,1.5,1.5,0,0,自提,Boston,0
1599079632,6/29/2020 1:32,5786461368,7/2/2020,,已送达,104.26,信用卡支付,,,,,5.08,120.67,,,android,2.2.4,1.5,,0,9.99,到家,NY,0
1597753920,6/29/2020 1:36,52340447894,7/1/2020,,已送达,126.66,PayPal,,,,,0.7,138.64,28.77,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1599109727,6/29/2020 1:37,52020288868,7/4/2020,,已送达,93.5,信用卡支付,,,,,0.62,102.61,,,pc下单,,1.5,,0,6.99,到家,DC,0
1593420105,6/29/2020 1:39,59931218714,7/2/2020,,订单已取消【其他原因 || 需要修改商品】,129.37,PayPal,,,,,3.61,144.47,144.47,,pc下单,,1.5,,0,9.99,到家,NY,0
1594619899,6/29/2020 1:40,57685866812,7/1/2020,,已送达,73.33,PayPal,,,,,0,84.64,27.47,,ios,2.3.0,1.5,,0,9.99,到家,Boston,0
1596203762,6/29/2020 1:43,57521721175,7/4/2020,,已送达,75.23,PayPal,5,1591755575,,,1.89,72.54,,,ios,2.3.0,1.5,,0,0,自提,OT,0
1595970548,6/29/2020 1:44,59931218714,7/2/2020,,已送达,154.36,PayPal,,,,,3.61,169.46,,,pc下单,,1.5,,0,9.99,到家,NY,0
1599414527,6/29/2020 1:44,55751775919,7/2/2020,,已送达,37.99,PayPal,,,,,2.57,49.43,6.99,R-其他,ios,2.3.0,,,0,6.99,到家,NY,2
1597763950,6/29/2020 1:50,52020290650,7/1/2020,,已送达,180.91,信用卡支付,5,新FAF【邀请有礼】【邀请人】满$5减$5 活动至20201231结束,,,0,179.17,29.02,,ios,2.3.0,1.5,,5,6.99,到家,DC,0
1593911307,6/29/2020 1:52,53991776511,7/2/2020,,已送达,136.94,支付宝/微信,,,,,0,149.93,6.99,,pc下单,,1.5,1.5,0,9.99,到家,NY,0
1594885866,6/29/2020 1:58,59220692080,7/2/2020,,已送达,56.19,信用卡支付,,,,,3.7,72.63,,,ios,2.3.0,1.5,,0,9.99,到家,NY,2
1593805855,6/29/2020 2:16,52085734094,7/2/2020,,已送达,82.44,PayPal,,,,,0.81,83.67,8.19,,ios,2.2.8,1.5,,0,0,自提,NY,0
1596878788,6/29/2020 2:30,538940401,7/4/2020,,已送达,32.19,信用卡支付,,,,,0.63,34.59,,,ios,2.3.0,,,0,0,自提,NY,2
1603085784,6/29/2020 2:31,52191754073,7/2/2020,,已送达,161.8,PayPal,,,,,2.24,175.53,,,pc下单,,1.5,,0,9.99,到家,NY,0
1594215912,6/29/2020 2:41,58657323581,7/2/2020,,已送达,110.04,信用卡支付,,,,,0.56,121.84,,,ios,2.3.0,1.5,,0,9.99,到家,NY,0
